Altium Designer Pick and Place Locations
Z:\Sitara\.\2018-07-10\Pick Place for sitara_rev3.txt

========================================================================================================================
File Design Information:

Date:       10/07/18
Time:       10:06
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                  Layer    Footprint                Center-X(mil) Center-Y(mil) Rotation Description                                                                                     
RJ1        R_J                      TopLayer RJ                       1081.740      1512.775      90       "Resistor Jumper"                                                                               
P3         "Header 3"               TopLayer HDR1X3                   190.000       810.000       90       "Header, 3-Pin"                                                                                 
R19        10K                      TopLayer 0603_RES                 320.000       970.000       90       "RES SMD 10KOHM 0.1% 0.0375W 0603"                                                              
C63        0.1uF                    TopLayer 0603_Cap                 379.500       968.500       90       "CAP CER 0.1UF 16V X7R 0603"                                                                    
D1         LTST-C191KFKT            TopLayer 0603_LED                 500.500       2035.949      270      "LED ORANGE CLEAR 0603 SMD"                                                                     
L2         3.3nH                    TopLayer 0603_IND                 695.500       691.500       180      "FIXED IND 3.3NH 500MA 150 MOHM"                                                                
X3         32.768kHz                TopLayer XTAL_3215                1388.768      505.240       45       "XTAL SMD 3215, 32.768kHz, Cl=9pF, Total Tol: ±50ppm"                                           
X2         32MHz                    TopLayer BT-XTAL_2016             658.768       410.240       270      "XTAL SMD 2016, 32MHz, Cl=8pF, Total Tol: ±40ppm"                                               
U6         nRF52840-QIAA            TopLayer AQFN50P700X700X85_HS-74N 1008.768      735.240       180      "Multi-protocol Bluetooth Low Energy, IEEE 802.15.4, ANT and 2.4GHz proprietary system-on-chip" 
C50        0.1uF                    TopLayer 0603_Cap                 695.500       801.500       180      "CAP CER 0.1UF 16V X7R 0603"                                                                    
C46        0.1uF                    TopLayer 0603_Cap                 690.500       626.500       360      "CAP CER 0.1UF 16V X7R 0603"                                                                    
C38        0.1uF                    TopLayer 0603_Cap                 1058.768      450.240       270      "CAP CER 0.1UF 16V X7R 0603"                                                                    
A1         U.FL-R-SMT(01)           TopLayer U.FL-R-SMT-1             1320.539      2350.476      360      "CONN UMC JACK STR 50 OHM SMD"                                                                  
B1         0900PC15J0013            TopLayer 0900PC15J0013            1310.500      2096.500      90       "TI CC1120 1121 BALUN FILTER IPC"                                                               
C1         4.7uF                    TopLayer 0603_Cap                 804.391       1726.751      270      4.7uF                                                                                           
C2         0.1uF                    TopLayer 0603_Cap                 749.642       1727.358      270      "CAP CER 0.1UF 16V X7R 0603"                                                                    
C3         1uF                      TopLayer 0603_Cap                 670.000       250.000       360      "CAP CER 1uF SMD"                                                                               
C6         4.7uF                    TopLayer 0603_Cap                 510.500       1681.500      180      4.7uF                                                                                           
C7         4.7uF                    TopLayer 0603_Cap                 360.500       2071.500      315      4.7uF                                                                                           
C8         GRM188R60J106ME47D       TopLayer CAPC1608X08N_(0603)      835.500       1966.500      180      "CAP CER 10UF 6.3V 20% X5R 0603"                                                                
C9         GRM188R61A105KA61D       TopLayer CAPC1608X08N_(0603)      835.500       2021.500      180      "CAP CER 1UF 10V 10% X5R 0603"                                                                  
C10        GRM188F51A225ZE01D       TopLayer CAPC1608X08N_(0603)      865.500       2111.500      90       "CAP CER 2.2UF 10V Y5V 0603"                                                                    
C11        GRM188R61A105KA61D       TopLayer CAPC1608X08N_(0603)      725.500       2381.500      90       "CAP CER 1UF 10V 10% X5R 0603"                                                                  
C12        0.1uF                    TopLayer 0603_Cap                 1520.500      2006.500      180      "CAP CER 0.1UF 16V X7R 0603"                                                                    
C13        GRM188R61A105KA61D       TopLayer CAPC1608X08N_(0603)      1346.974      1449.496      135      "CAP CER 1UF 10V 10% X5R 0603"                                                                  
C14        GRM188R60J106ME47D       TopLayer CAPC1608X08N_(0603)      1130.500      1466.500      90       "CAP CER 10UF 6.3V 20% X5R 0603"                                                                
C16        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1055.500      1811.500      270      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C17        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1000.500      1811.500      270      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C18        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1025.500      1911.500      360      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C19        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1011.996      1721.500      180      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C20        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1025.500      1966.500      360      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C21        GRM188R71H103MA01D       TopLayer CAPC1608X08N_(0603)      960.705       1461.295      180      "CAP CER 10000PF 50V 20% X7R 0603"                                                              
C22        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1105.500      2116.500      315      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C23        GRM188R71H103MA01D       TopLayer CAPC1608X08N_(0603)      1145.500      2156.500      135      "CAP CER 10000PF 50V 20% X7R 0603"                                                              
C24        GRM1885C1H152JA01D       TopLayer CAPC1608X08N_(0603)      1155.500      1996.500      225      "CAP CER 1500PF 50V 5% NP0 0603"                                                                
C25        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1190.500      1466.500      90       "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C26        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1391.974      1499.496      135      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C27        C_TBD                    TopLayer CAPC1608X08N_(0603)      1320.500      2226.500      90       C_TBD                                                                                           
C28        GRM188R71E224KA88D       TopLayer CAPC1608X08N_(0603)      1436.974      1544.496      135      "CAP CER 0.22UF 25V 10% X7R 0603"                                                               
C29        C_TBD                    TopLayer CAPC1608X08N_(0603)      1230.500      2251.500      360      C_TBD                                                                                           
C30        GRM1885C1H330JA01D       TopLayer CAPC1608X08N_(0603)      1575.500      2131.500      180      "CAP CER 33PF 50V NP0 0603"                                                                     
C31        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1520.500      1951.500      360      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C32        GRM188R71H103MA01D       TopLayer CAPC1608X08N_(0603)      1665.500      2036.500      90       "CAP CER 10000PF 50V 20% X7R 0603"                                                              
C33        GQM1885C1H101JB01D       TopLayer CAPC1608X08N_(0603)      1665.500      2162.996      270      "CAP CER 100PF 50V 5% NP0 0603"                                                                 
C34        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1520.500      1831.500      360      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C35        GCM188R71H473KA55D       TopLayer CAPC1608X08N_(0603)      1520.500      1776.500      360      "CAP CER 0.047UF 50V 10% X7R 0603"                                                              
C36        12pF                     TopLayer 0603_Cap                 775.500       381.500       360      "CAP CER 12PF 250V NP0 0603"                                                                    
C37        1uF                      TopLayer 0603_Cap                 1183.768      446.740       90       "CAP CER 1uF SMD"                                                                               
C39        12pF                     TopLayer 0603_Cap                 605.500       501.500       180      "CAP CER 12PF 250V NP0 0603"                                                                    
C40        12pF                     TopLayer 0603_Cap                 1315.000      420.000       135      "CAP CER 12PF 250V NP0 0603"                                                                    
C41        0.1uF                    TopLayer 0603_Cap                 938.768       450.240       90       "CAP CER 0.1UF 16V X7R 0603"                                                                    
C42        0.1uF                    TopLayer 0603_Cap                 1276.697      612.311       180      "CAP CER 0.1UF 16V X7R 0603"                                                                    
C43        1uF                      TopLayer 0603_Cap                 1276.697      555.743       180      "CAP CER 1uF SMD"                                                                               
C44        12pF                     TopLayer 0603_Cap                 1460.000      460.000       45       "CAP CER 12PF 250V NP0 0603"                                                                    
C48        1.3pF                    TopLayer 0603_Cap                 545.500       716.500       270      "CAP CER 1.3PF 250V NP0 0603"                                                                   
C49        0.8pF                    TopLayer 0603_Cap                 790.500       721.500       270      "CAP CER 0.8PF 250V NP0 0603"                                                                   
C51        4.7uF                    TopLayer 0603_Cap                 1278.768      805.240       180      4.7uF                                                                                           
C52        4.7uF                    TopLayer 0603_Cap                 1233.768      925.240       225      4.7uF                                                                                           
C53        0.1uF                    TopLayer 0603_Cap                 620.500       956.500       90       "CAP CER 0.1UF 16V X7R 0603"                                                                    
C54        0.1uF                    TopLayer 0603_Cap                 1318.768      870.240       180      "CAP CER 0.1UF 16V X7R 0603"                                                                    
C55        1uF                      TopLayer 0603_Cap                 1150.500      1136.500      270      "CAP CER 1uF SMD"                                                                               
C56        4.7uF                    TopLayer 0603_Cap                 1193.768      965.240       225      4.7uF                                                                                           
C57        10uF                     TopLayer 0603_Cap                 680.500       956.500       90       "CAP CER 10uF"                                                                                  
C58        10uF                     TopLayer 0603_Cap                 1095.500      1136.500      270      "CAP CER 10uF"                                                                                  
C59        1uF                      TopLayer 0603_Cap                 740.500       956.500       90       "CAP CER 1uF SMD"                                                                               
C60        1uF                      TopLayer 0603_Cap                 883.768       450.240       90       "CAP CER 1uF SMD"                                                                               
C61        0.1uF                    TopLayer 0603_Cap                 998.768       450.240       90       "CAP CER 0.1UF 16V X7R 0603"                                                                    
C62        0.1uF                    TopLayer 0603_Cap                 1040.500      1136.500      270      "CAP CER 0.1UF 16V X7R 0603"                                                                    
CONN1      10118193-0001LF          TopLayer USB_MICRO_B              900.000       185.000       360      "CONN USB MICRO B RECPT SMT R/A"                                                                
D2         LTST-C191KFKT            TopLayer 0603_LED                 620.972       1845.476      180      "LED ORANGE CLEAR 0603 SMD"                                                                     
D3         CLV1A-FKB-CJ1M1F1BB7R4S3 TopLayer CREE_LV1                 1645.500      676.500       90       "LED RED/GREEN/BLUE PLCC4 SMD"                                                                  
FB1        BLM18BD221SN1D           TopLayer RESC1608X06N_(0603)      805.500       2111.500      90       "FERRITE CHIP 220 OHM 200MA 0603"                                                               
J1         0533980271               TopLayer 53398-0271               465.500       2369.728      360      "CONN HEADER 2POS 1.25MM VERT SMD"                                                              
L1         LQG18HN10NJ00D           TopLayer INDC1608X08N             1450.500      2066.500      180      "FIXED IND 10NH 400MA 300 MOHM"                                                                 
L3         1.8nH                    TopLayer 0603_IND                 455.500       691.500       180      "FIXED IND 1.8NH 300MA 100 MOHM"                                                                
R3         56.2K                    TopLayer 0603_RES                 295.500       1876.500      360      "RES SMD 56.2KOHM 0.1% 1/10W 0603"                                                              
R4         3.57K                    TopLayer 0603_RES                 295.500       1816.500      360      "RES SMD 3.57KOHM 0.1% 1/10W 0603"                                                              
R5         4.32K                    TopLayer 0603_RES                 296.012       1755.476      360      "RES SMD 4.32KOHM 0.1% 1/10W 0603"                                                              
R7         2.94K                    TopLayer 0603_RES                 320.500       2031.500      135      "RES SMD 2.94KOHM 0.1% 1/10W 0603"                                                              
R8         10K                      TopLayer 0603_RES                 365.500       1686.500      360      "RES SMD 10KOHM 0.1% 0.0375W 0603"                                                              
R9         1.5K                     TopLayer 0603_RES                 555.500       2035.476      270      "RES SMD 1.5K OHM 5% 1/10W 0603"                                                                
R10        1.5K                     TopLayer 0603_RES                 650.500       1936.500      90       "RES SMD 1.5K OHM 5% 1/10W 0603"                                                                
R11        RC0603FR-0710KL          TopLayer RESC1608X06N_(0603)      835.500       2201.500      180      "RES 10.0K OHM 1/10W 1% 0603 SMD"                                                               
R12        MCR03ERTJ000             TopLayer RESC1608X06N_(0603)      1010.500      1661.500      360      "RES 0.0 OHM 1/10W JUMP 0603 SMD"                                                               
R13        RC0603FR-0710RL          TopLayer RESC1608X06N_(0603)      1575.500      2066.500      180      "RES SMD 10 OHM 1% 1/10W 0603"                                                                  
R14        MCR03ERTJ563             TopLayer RESC1608X06N_(0603)      1520.500      1891.500      180      "RES 56K OHM 1/10W 5% 0603 SMD"                                                                 
R15        3.57K                    TopLayer 0603_RES                 1655.500      1396.500      270      "RES SMD 3.57KOHM 0.1% 1/10W 0603"                                                              
R16        330                      TopLayer 0603_RES                 1550.500      646.500       270      "RES SMD 330 OHM 5% 1/10W 0603"                                                                 
R17        330                      TopLayer 0603_RES                 1545.500      771.500       90       "RES SMD 330 OHM 5% 1/10W 0603"                                                                 
R18        330                      TopLayer 0603_RES                 1640.500      811.500       180      "RES SMD 330 OHM 5% 1/10W 0603"                                                                 
SW1        EVQ-PE105K               TopLayer EVQ-PE105K               1630.500      1171.500      270      "SWITCH TACTILE SPST-NO 0.05A 12V"                                                              
U2         BQ24232HARGTT            TopLayer QFN_16_BQ24232           470.500       1835.476      90       "IC LI-ION CHARGE PWR MGMT 16VQFN"                                                              
