Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Sitara_rev1.PrjPCB|ReportField=ProjectFullPath~\\chips.eng.utah.edu\home\pandla\.win_desktop\altium projects\sitara_new\sitara\Sitara_rev1.PrjPCB|ReportField=Title~Bill of Materials For Project [Sitara_rev1.PrjPCB] (No PCB Document Selected)|ReportField=TotalQuantity~102|ReportField=ReportTime~5:11:22 PM|ReportField=ReportDate~3/10/2017|ReportField=ReportDateTime~3/10/2017 5:11:22 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~50 S Central Campus Dr|ReportField=Address2~MEB Rm 3129|ReportField=Address3~Salt Lake City, Utah 84115|ReportField=Address4~USA|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~SPAN|ReportField=CurrentDate~3/10/2017|ReportField=CurrentTime~5:11:15 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~\\chips.eng.utah.edu\home\pandla\.win_desktop\altium projects\sitara_new\sitara\_Block_level_sheet.SchDoc|ReportField=DocumentName~_Block_level_sheet.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~Goverdhan|ReportField=ImagePath~|ReportField=ModifiedDate~3/10/2017|ReportField=Organization~University of Utah|ReportField=ProjectName~Sitara_rev1.PrjPCB|ReportField=Revision~1|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~4|ReportField=Time~|ReportField=Title~Sitara|ReportField=Application_BuildNumber~|ReportField=DataSourceFileName~Sitara_rev1.PrjPCB|ReportField=DataSourceFullPath~\\chips.eng.utah.edu\home\pandla\.win_desktop\altium projects\sitara_new\sitara\Sitara_rev1.PrjPCB
U.FL-R-SMT(01)|CONN UMC JACK STR 50 OHM SMD|A1|U.FL-R-SMT-1|U.FL-R-SMT(01)|1
0900PC15J0013|TI CC1120 1121 BALUN FILTER IPC|B1|0900PC15J0013|0900PC15J0013|1
4.7uF|4.7uF|C1, C6, C7, C51, C52, C56|0603_Cap|JMK107BJ475MAHT|6
0.1uF|CAP CER 0.1UF 16V X7R 0603|C2, C5, C41, C42, C53, C54, C61, C62|0603_Cap|0603YC104KAT4A|8
1uF|CAP CER 1uF SMD|C3, C37, C43, C55, C59, C60|0603_Cap|JMK107C6105KA-T|6
10uF|CAP CER 10uF|C4, C57, C58|0603_Cap|EMK107BC6106MA-T|3
GRM188R60J106ME47D|CAP CER 10UF 6.3V 20% X5R 0603|C8, C14|CAPC1608X08N (0603)|GRM188R60J106ME47D|2
GRM188R61A105KA61D|CAP CER 1UF 10V 10% X5R 0603|C9, C11|CAPC1608X08N (0603)|GRM188R61A105KA61D|2
GRM188F51A225ZE01D|CAP CER 2.2UF 10V Y5V 0603|C10|CAPC1608X08N (0603)|GRM188F51A225ZE01D|1
GRM033R60J104KE19D|CAP CER 0.1UF 6.3V 10% X5R 0201|C12, C13|CAPC1608X08N (0603)|GRM033R60J104KE19D|2
GRM1885C1H102JA01D|CAP CER 1000PF 50V 5% NP0 0603|C15|CAPC1608X08N (0603)|GRM1885C1H102JA01D|1
GCM188R71H473KA55D|CAP CER 0.047UF 50V 10% X7R 0603|C16, C17, C18, C19, C20, C22, C25, C26, C31, C34, C35|CAPC1608X08N (0603)|GCM188R71H473KA55D|11
GRM188R71H103MA01D|CAP CER 10000PF 50V 20% X7R 0603|C21, C23, C32|CAPC1608X08N (0603)|GRM188R71H103MA01D|3
GRM1885C1H152JA01D|CAP CER 1500PF 50V 5% NP0 0603|C24|CAPC1608X08N (0603)|GRM1885C1H152JA01D|1
C_TBD|C_TBD|C27, C29|CAPC1608X08N (0603)|C_TBD|2
